K,seed,avg_log_likelihood,cmse,precision,recall,f1,fpr
3,5,-166.69589789470223,0.015625,1.0,0.8,0.888888888888889,0.0
3,6,-166.71578927301516,0.015625,1.0,0.8,0.888888888888889,0.0
3,7,-166.6798636625628,0.015625,1.0,0.8,0.888888888888889,0.0
3,8,-166.65386968893898,0.015625,1.0,0.8,0.888888888888889,0.0
3,9,-166.68645838805537,0.015625,1.0,0.8,0.888888888888889,0.0
3,10,-166.63630948765555,0.015625,1.0,0.8,0.888888888888889,0.0
3,11,-166.60482902670265,0.015625,1.0,0.8,0.888888888888889,0.0
3,12,-166.62311925555176,0.015625,1.0,0.8,0.888888888888889,0.0
3,13,-166.59121246054428,0.015625,1.0,0.8,0.888888888888889,0.0
3,14,-166.57208063810356,0.015625,1.0,0.8,0.888888888888889,0.0
3,15,-166.66358555441536,0.015625,1.0,0.8,0.888888888888889,0.0
3,16,-166.51195202146897,0.015625,1.0,0.8,0.888888888888889,0.0
3,17,-166.67469684638232,0.015625,1.0,0.8,0.888888888888889,0.0
3,18,-166.63037756575224,0.015625,1.0,0.8,0.888888888888889,0.0
3,19,-166.6812239906246,0.015625,1.0,0.8,0.888888888888889,0.0
3,20,-166.7196316651994,0.015625,1.0,0.8,0.888888888888889,0.0
3,21,-166.65064871556646,0.015625,1.0,0.8,0.888888888888889,0.0
3,22,-166.67005654264867,0.015625,1.0,0.8,0.888888888888889,0.0
3,23,-166.6904808056858,0.015625,1.0,0.8,0.888888888888889,0.0
3,24,-166.69419091421335,0.015625,1.0,0.8,0.888888888888889,0.0
3,25,-166.596179149,0.0,1.0,1.0,1.0,0.0
3,26,-166.6312473588824,0.015625,1.0,0.8,0.888888888888889,0.0
3,27,-166.57052108761206,0.0,1.0,1.0,1.0,0.0
3,28,-166.683947967171,0.015625,1.0,0.8,0.888888888888889,0.0
3,29,-166.65939383003823,0.015625,1.0,0.8,0.888888888888889,0.0
3,30,-166.68710687462257,0.015625,1.0,0.8,0.888888888888889,0.0
3,31,-166.67243209436648,0.015625,1.0,0.8,0.888888888888889,0.0
3,32,-166.67344818217205,0.0,1.0,1.0,1.0,0.0
3,33,-166.57326432995987,0.0,1.0,1.0,1.0,0.0
3,34,-166.7220947186846,0.015625,1.0,0.8,0.888888888888889,0.0
3,35,-166.6319293588756,0.015625,1.0,0.8,0.888888888888889,0.0
3,36,-166.6167406745668,0.015625,1.0,0.8,0.888888888888889,0.0
3,37,-166.6699035889424,0.015625,1.0,0.8,0.888888888888889,0.0
3,38,-166.67453294412067,0.015625,1.0,0.8,0.888888888888889,0.0
3,39,-166.67450597727193,0.015625,1.0,0.8,0.888888888888889,0.0
3,40,-166.6982166647944,0.015625,1.0,0.8,0.888888888888889,0.0
3,41,-166.67548595317064,0.015625,1.0,0.8,0.888888888888889,0.0
3,42,-166.6667889843179,0.015625,1.0,0.8,0.888888888888889,0.0
3,43,-166.68443684093015,0.015625,1.0,0.8,0.888888888888889,0.0
3,44,-166.6823460907315,0.015625,1.0,0.8,0.888888888888889,0.0
3,45,-166.6425331891054,0.015625,1.0,0.8,0.888888888888889,0.0
3,46,-166.6577758083659,0.015625,1.0,0.8,0.888888888888889,0.0
3,47,-166.6508764544002,0.0,1.0,1.0,1.0,0.0
3,48,-166.65643422379094,0.015625,1.0,0.8,0.888888888888889,0.0
3,49,-166.70369096929542,0.015625,1.0,0.8,0.888888888888889,0.0
