em_iters,seed,runtime_sec,mse,precision,recall,f1,mcc,weight_cosine_sim_expert1_grass,weight_cosine_sim_expert2_rock,cluster_ari
12,5,4.180138111114502,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.804158370601774,0.6518090466624465,0.4570561159533836
12,6,4.761538028717041,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8778836341119942,0.8182610464122784,0.3782427188031781
12,7,4.149199962615967,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8105795831453622,0.7639743831944553,0.4848148435363599
12,8,4.642884969711304,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7980027757699433,0.8376968114513026,0.5134936572464123
12,9,4.276962041854858,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8031942560096164,0.7090242624789627,0.6363265306122449
12,10,4.629510164260864,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8895315988221217,0.8208005810576297,0.5734638922888617
12,11,4.394662141799927,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9219215950446671,0.739791451654367,0.5429855388345354
12,12,4.413141250610352,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8124914464383174,0.8322593561176124,0.6363324680413381
12,13,4.5023651123046875,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8800842231244362,0.8346630254145775,0.4847980212325664
12,14,4.175982236862183,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7306494902377526,0.8832909649887479,0.5430004612075475
15,0,5.034440040588379,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8596634274433501,0.6796780088851814,0.5135571915963368
15,1,5.399238348007202,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8142633894654088,0.8066542080053044,0.4302338386990199
15,2,5.030273914337158,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8837393650493685,0.861878186762932,0.5733524869815048
15,3,4.993019104003906,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7910862256408886,0.6678579834528235,0.5137714975687759
15,4,5.477221965789795,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8308418523959812,0.8740766449640566,0.18761295364626582
15,5,5.245120048522949,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8123295209623499,0.6460172553363048,0.4570561159533836
15,6,5.580182075500488,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8751458046890019,0.8132655969196774,0.3782427188031781
15,7,5.146708011627197,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8269363249667815,0.760145488518064,0.5135571915963368
15,8,5.136279106140137,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8017491094000367,0.8328555006577705,0.5134936572464123
15,9,5.229234933853149,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8182044052820386,0.7383996523781081,0.6363265306122449
15,10,5.505594730377197,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8863948301410596,0.8075826529645345,0.5734638922888617
15,11,5.290488004684448,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.9182307912485427,0.7470491456427938,0.5429855388345354
15,12,5.54626202583313,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8114570926948633,0.8334154427379548,0.6045348272611912
15,13,5.683780193328857,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.8757914086774571,0.8368307453862542,0.4847980212325664
15,14,5.266641855239868,0.015625,1.0,0.8,0.888888888888889,0.8869423130433379,0.7405330012958765,0.8887222827208949,0.5430004612075475
