state_id,state_key,action,action_idx,eligibility_infeasible,infeasible_rate,clinical_reason,inferred_probability,threshold_used,inferred_infeasible,match
27,6|1|1|2|0|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.8333333333333334,0.16,True,True
28,12|1|1|3|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
28,12|1|1|3|0|2|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
28,12|1|1|3|0|2|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
28,12|1|1|3|0|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.8333333333333334,0.16,True,True
29,18|1|1|3|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
29,18|1|1|3|0|2|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
29,18|1|1|3|0|2|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
29,18|1|1|3|0|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.8333333333333334,0.16,True,True
30,24|1|1|3|0|2|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
30,24|1|1|3|0|2|0|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
30,24|1|1|3|0|2|0|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
30,24|1|1|3|0|2|0|0|0,Surgery,3,True,1.0,not first-line month,0.8333333333333334,0.16,True,True
31,0|1|2|3|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
31,0|1|2|3|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
31,0|1|2|3|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
31,0|1|2|3|0|2|1|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
32,6|1|2|2|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
32,6|1|2|2|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
32,6|1|2|2|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
32,6|1|2|2|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
33,12|1|2|2|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
33,12|1|2|2|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
33,12|1|2|2|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
33,12|1|2|2|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
34,18|1|2|2|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
34,18|1|2|2|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
34,18|1|2|2|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
34,18|1|2|2|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
35,24|1|2|2|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
35,24|1|2|2|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
35,24|1|2|2|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
35,24|1|2|2|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.5,0.16,True,True
36,0|2|1|2|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
36,0|2|1|2|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
36,0|2|1|2|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
36,0|2|1|2|0|2|1|0|0,Surgery,3,True,1.0,allowed,0.0,0.16,False,False
37,6|2|1|3|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
37,6|2|1|3|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
37,6|2|1|3|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
37,6|2|1|3|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.3333333333333333,0.16,True,True
38,12|2|1|3|0|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
38,12|2|1|3|0|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
38,12|2|1|3|0|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
38,12|2|1|3|0|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.16666666666666666,0.16,True,True
39,18|2|1|0|1|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
39,18|2|1|0|1|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
39,18|2|1|0|1|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
39,18|2|1|0|1|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.16666666666666666,0.16,True,True
40,24|2|1|0|1|2|1|0|0,Targeted,0,False,0.0,allowed,0.0,0.16,False,True
40,24|2|1|0|1|2|1|0|0,Immuno,1,False,0.0,allowed,0.0,0.16,False,True
40,24|2|1|0|1|2|1|0|0,Chemo,2,False,0.0,allowed,0.0,0.16,False,True
40,24|2|1|0|1|2|1|0|0,Surgery,3,True,1.0,not first-line month,0.16666666666666666,0.16,True,True
41,0|3|2|2|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
41,0|3|2|2|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.8333333333333334,0.16,True,True
41,0|3|2|2|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
41,0|3|2|2|0|0|0|0|0,Surgery,3,True,1.0,ECOG/perf_status > 2,0.3333333333333333,0.16,True,True
42,6|3|2|3|0|0|0|0|0,Targeted,0,True,1.0,EGFR/ALK not eligible,0.8333333333333334,0.16,True,True
42,6|3|2|3|0|0|0|0|0,Immuno,1,True,1.0,PD-L1 < 1%,0.16666666666666666,0.16,True,True
42,6|3|2|3|0|0|0|0|0,Chemo,2,True,1.0,ECOG/perf_status > 2,0.0,0.16,False,False
