state_id,action,eligibility_infeasible,inferred_infeasible,infeasible_rate,clinical_reason
113,Immuno,True,True,1.0,PD-L1 < 1%
113,Chemo,True,False,1.0,ECOG/perf_status > 2
113,Surgery,True,True,1.0,not first-line month
114,Targeted,True,False,1.0,allowed
114,Immuno,True,True,1.0,PD-L1 < 1%
114,Chemo,True,False,1.0,ECOG/perf_status > 2
114,Surgery,True,True,1.0,not first-line month
115,Targeted,True,False,1.0,allowed
115,Immuno,True,True,1.0,PD-L1 < 1%
115,Chemo,True,False,1.0,ECOG/perf_status > 2
115,Surgery,True,True,1.0,not first-line month
116,Targeted,True,True,1.0,EGFR/ALK not eligible
117,Targeted,True,True,1.0,EGFR/ALK not eligible
117,Surgery,True,True,0.5,not first-line month
118,Targeted,True,True,1.0,EGFR/ALK not eligible
118,Surgery,True,True,0.5,not first-line month
119,Targeted,True,True,1.0,EGFR/ALK not eligible
120,Targeted,True,True,1.0,EGFR/ALK not eligible
120,Surgery,True,True,0.6666666666666666,not first-line month
121,Targeted,True,True,1.0,EGFR/ALK not eligible
121,Immuno,True,False,1.0,PD-L1 < 1%
121,Chemo,True,True,1.0,ECOG/perf_status > 2
121,Surgery,True,True,1.0,not first-line month
122,Targeted,True,True,1.0,EGFR/ALK not eligible
122,Immuno,True,False,1.0,PD-L1 < 1%
122,Chemo,True,False,1.0,ECOG/perf_status > 2
122,Surgery,True,True,1.0,not first-line month
123,Targeted,True,True,1.0,EGFR/ALK not eligible
123,Immuno,True,False,1.0,PD-L1 < 1%
123,Chemo,True,False,1.0,ECOG/perf_status > 2
123,Surgery,True,True,1.0,not first-line month
124,Immuno,True,True,1.0,PD-L1 < 1%
124,Surgery,True,False,1.0,allowed
125,Immuno,True,True,1.0,PD-L1 < 1%
125,Surgery,True,True,1.0,not first-line month
126,Immuno,True,True,1.0,PD-L1 < 1%
126,Surgery,True,True,1.0,not first-line month
127,Immuno,True,True,1.0,PD-L1 < 1%
127,Surgery,True,True,1.0,not first-line month
128,Immuno,True,True,1.0,PD-L1 < 1%
128,Surgery,True,True,1.0,not first-line month
129,Surgery,True,False,1.0,allowed
130,Surgery,True,True,1.0,not first-line month
131,Targeted,True,True,1.0,EGFR/ALK not eligible
131,Surgery,True,True,1.0,not first-line month
132,Surgery,True,True,1.0,not first-line month
133,Surgery,True,True,1.0,not first-line month
134,Surgery,True,True,1.0,not first-line month
135,Targeted,True,True,1.0,EGFR/ALK not eligible
135,Immuno,True,True,1.0,PD-L1 < 1%
135,Surgery,True,False,1.0,allowed
136,Targeted,True,True,1.0,EGFR/ALK not eligible
136,Immuno,True,True,1.0,PD-L1 < 1%
136,Surgery,True,True,1.0,not first-line month
137,Targeted,True,True,1.0,EGFR/ALK not eligible
137,Surgery,True,False,1.0,allowed
138,Targeted,True,True,1.0,EGFR/ALK not eligible
138,Surgery,True,True,1.0,not first-line month
139,Targeted,True,True,1.0,EGFR/ALK not eligible
139,Surgery,True,True,0.5,not first-line month
140,Targeted,True,True,1.0,EGFR/ALK not eligible
140,Surgery,True,True,1.0,not first-line month
141,Immuno,True,True,1.0,PD-L1 < 1%
141,Surgery,True,False,1.0,allowed
142,Immuno,True,True,1.0,PD-L1 < 1%
142,Surgery,True,True,1.0,not first-line month
143,Immuno,True,True,1.0,PD-L1 < 1%
143,Surgery,True,True,1.0,not first-line month
144,Immuno,True,True,1.0,PD-L1 < 1%
144,Surgery,True,True,1.0,not first-line month
145,Immuno,True,True,1.0,PD-L1 < 1%
145,Surgery,True,True,1.0,not first-line month
146,Targeted,True,True,1.0,EGFR/ALK not eligible
146,Surgery,True,False,0.5,allowed
147,Targeted,True,True,1.0,EGFR/ALK not eligible
147,Surgery,True,True,0.5,not first-line month
148,Targeted,True,True,1.0,EGFR/ALK not eligible
148,Surgery,True,True,0.6666666666666666,not first-line month
149,Targeted,True,True,1.0,EGFR/ALK not eligible
149,Surgery,True,True,0.5,not first-line month
150,Targeted,True,True,1.0,EGFR/ALK not eligible
150,Immuno,True,True,1.0,PD-L1 < 1%
150,Surgery,True,False,1.0,allowed
151,Targeted,True,True,1.0,EGFR/ALK not eligible
151,Immuno,True,True,1.0,PD-L1 < 1%
151,Surgery,True,True,1.0,not first-line month
152,Targeted,True,True,1.0,EGFR/ALK not eligible
152,Immuno,True,True,1.0,PD-L1 < 1%
152,Surgery,True,True,1.0,not first-line month
153,Targeted,True,True,1.0,EGFR/ALK not eligible
153,Immuno,True,True,1.0,PD-L1 < 1%
153,Surgery,True,True,1.0,not first-line month
154,Targeted,True,True,1.0,EGFR/ALK not eligible
154,Immuno,True,True,1.0,PD-L1 < 1%
154,Surgery,True,True,1.0,not first-line month
160,Targeted,True,True,1.0,EGFR/ALK not eligible
160,Immuno,True,True,1.0,PD-L1 < 1%
160,Surgery,True,True,1.0,not first-line month
161,Targeted,True,True,1.0,EGFR/ALK not eligible
161,Immuno,True,True,1.0,PD-L1 < 1%
161,Surgery,True,False,1.0,allowed
162,Targeted,True,True,1.0,EGFR/ALK not eligible
162,Immuno,True,True,1.0,PD-L1 < 1%
163,Targeted,True,True,1.0,EGFR/ALK not eligible
163,Immuno,True,True,1.0,PD-L1 < 1%
164,Targeted,True,True,1.0,EGFR/ALK not eligible
164,Immuno,True,True,1.0,PD-L1 < 1%
165,Targeted,True,True,1.0,EGFR/ALK not eligible
165,Immuno,True,True,1.0,PD-L1 < 1%
166,Targeted,True,True,1.0,EGFR/ALK not eligible
166,Immuno,True,True,1.0,PD-L1 < 1%
167,Targeted,True,False,1.0,allowed
167,Immuno,True,True,1.0,PD-L1 < 1%
167,Chemo,True,False,1.0,ECOG/perf_status > 2
167,Surgery,True,True,1.0,ECOG/perf_status > 2
168,Targeted,True,False,1.0,allowed
168,Immuno,True,True,1.0,PD-L1 < 1%
168,Chemo,True,False,1.0,ECOG/perf_status > 2
168,Surgery,True,True,1.0,not first-line month
169,Targeted,True,False,1.0,allowed
169,Immuno,True,True,1.0,PD-L1 < 1%
169,Chemo,True,False,1.0,ECOG/perf_status > 2
169,Surgery,True,True,1.0,not first-line month
170,Targeted,True,False,1.0,allowed
170,Immuno,True,True,1.0,PD-L1 < 1%
170,Chemo,True,False,1.0,ECOG/perf_status > 2
170,Surgery,True,True,1.0,not first-line month
171,Targeted,True,False,1.0,allowed
171,Immuno,True,True,1.0,PD-L1 < 1%
171,Chemo,True,False,1.0,ECOG/perf_status > 2
171,Surgery,True,True,1.0,not first-line month
172,Targeted,True,True,1.0,EGFR/ALK not eligible
172,Surgery,True,False,1.0,allowed
173,Targeted,True,True,1.0,EGFR/ALK not eligible
173,Surgery,True,True,1.0,not first-line month
174,Targeted,True,True,1.0,EGFR/ALK not eligible
174,Surgery,True,True,1.0,not first-line month
175,Targeted,True,False,1.0,allowed
175,Immuno,True,True,1.0,PD-L1 < 1%
175,Chemo,True,False,1.0,ECOG/perf_status > 2
175,Surgery,True,False,1.0,ECOG/perf_status > 2
176,Targeted,True,False,1.0,allowed
176,Immuno,True,True,1.0,PD-L1 < 1%
176,Chemo,True,False,1.0,ECOG/perf_status > 2
176,Surgery,True,False,1.0,not first-line month
177,Targeted,True,False,1.0,allowed
177,Immuno,True,True,1.0,PD-L1 < 1%
177,Chemo,True,False,1.0,ECOG/perf_status > 2
177,Surgery,True,False,1.0,not first-line month
178,Targeted,True,False,1.0,allowed
178,Immuno,True,True,1.0,PD-L1 < 1%
178,Chemo,True,True,1.0,ECOG/perf_status > 2
178,Surgery,True,False,1.0,not first-line month
179,Targeted,True,False,1.0,allowed
179,Immuno,True,True,1.0,PD-L1 < 1%
179,Chemo,True,True,1.0,ECOG/perf_status > 2
179,Surgery,True,False,1.0,not first-line month
180,Targeted,True,True,1.0,EGFR/ALK not eligible
180,Immuno,True,False,1.0,PD-L1 < 1%
180,Surgery,True,True,1.0,not first-line month
181,Targeted,True,True,1.0,EGFR/ALK not eligible
181,Immuno,True,False,1.0,PD-L1 < 1%
181,Surgery,True,True,1.0,not first-line month
182,Targeted,True,True,1.0,EGFR/ALK not eligible
182,Surgery,True,True,1.0,not first-line month
183,Targeted,True,True,1.0,EGFR/ALK not eligible
183,Surgery,True,True,1.0,not first-line month
184,Targeted,True,True,1.0,EGFR/ALK not eligible
184,Surgery,True,True,1.0,not first-line month
185,Targeted,True,True,1.0,EGFR/ALK not eligible
185,Surgery,True,True,1.0,not first-line month
186,Targeted,True,True,1.0,EGFR/ALK not eligible
186,Surgery,True,True,1.0,not first-line month
187,Targeted,True,True,1.0,EGFR/ALK not eligible
187,Immuno,True,False,1.0,allowed
187,Chemo,True,False,1.0,ECOG/perf_status > 2
187,Surgery,True,True,1.0,ECOG/perf_status > 2
188,Targeted,True,True,1.0,EGFR/ALK not eligible
188,Immuno,True,False,1.0,allowed
188,Chemo,True,False,1.0,ECOG/perf_status > 2
188,Surgery,True,True,1.0,not first-line month
189,Targeted,True,True,1.0,EGFR/ALK not eligible
189,Immuno,True,False,1.0,allowed
189,Chemo,True,False,1.0,ECOG/perf_status > 2
189,Surgery,True,True,1.0,not first-line month
190,Targeted,True,True,1.0,EGFR/ALK not eligible
190,Immuno,True,False,1.0,allowed
190,Chemo,True,True,1.0,ECOG/perf_status > 2
190,Surgery,True,True,1.0,not first-line month
191,Targeted,True,True,1.0,EGFR/ALK not eligible
191,Immuno,True,False,1.0,allowed
191,Chemo,True,True,1.0,ECOG/perf_status > 2
191,Surgery,True,True,1.0,not first-line month
192,Surgery,True,False,1.0,allowed
193,Surgery,True,True,1.0,not first-line month
194,Surgery,True,True,1.0,not first-line month
195,Surgery,True,True,1.0,not first-line month
196,Surgery,True,True,1.0,not first-line month
197,Targeted,True,True,1.0,EGFR/ALK not eligible
197,Immuno,True,False,1.0,allowed
197,Chemo,True,False,1.0,ECOG/perf_status > 2
197,Surgery,True,True,1.0,ECOG/perf_status > 2
198,Targeted,True,True,1.0,EGFR/ALK not eligible
198,Immuno,True,False,1.0,allowed
198,Chemo,True,True,1.0,ECOG/perf_status > 2
198,Surgery,True,False,1.0,not first-line month
199,Targeted,True,True,1.0,EGFR/ALK not eligible
199,Immuno,True,False,1.0,allowed
199,Chemo,True,True,1.0,ECOG/perf_status > 2
199,Surgery,True,False,1.0,not first-line month
200,Targeted,True,True,1.0,EGFR/ALK not eligible
200,Immuno,True,False,1.0,allowed
200,Chemo,True,True,1.0,ECOG/perf_status > 2
200,Surgery,True,False,1.0,not first-line month
201,Targeted,True,True,1.0,EGFR/ALK not eligible
201,Immuno,True,False,1.0,allowed
201,Chemo,True,True,1.0,ECOG/perf_status > 2
201,Surgery,True,False,1.0,not first-line month
202,Targeted,True,True,1.0,EGFR/ALK not eligible
202,Immuno,True,True,1.0,PD-L1 < 1%
202,Surgery,True,True,1.0,not first-line month
203,Targeted,True,True,1.0,EGFR/ALK not eligible
203,Immuno,True,True,1.0,PD-L1 < 1%
203,Surgery,True,True,1.0,not first-line month
204,Targeted,True,True,1.0,EGFR/ALK not eligible
204,Immuno,True,True,1.0,PD-L1 < 1%
204,Surgery,True,True,1.0,not first-line month
205,Targeted,True,True,1.0,EGFR/ALK not eligible
205,Immuno,True,True,1.0,PD-L1 < 1%
205,Surgery,True,True,1.0,not first-line month
206,Immuno,True,True,1.0,PD-L1 < 1%
206,Surgery,True,False,1.0,allowed
207,Immuno,True,True,1.0,PD-L1 < 1%
207,Surgery,True,True,1.0,not first-line month
208,Targeted,True,True,1.0,EGFR/ALK not eligible
208,Immuno,True,True,1.0,PD-L1 < 1%
208,Chemo,True,False,1.0,ECOG/perf_status > 2
208,Surgery,True,True,1.0,ECOG/perf_status > 2
209,Targeted,True,True,1.0,EGFR/ALK not eligible
209,Immuno,True,True,1.0,PD-L1 < 1%
209,Chemo,True,False,1.0,ECOG/perf_status > 2
209,Surgery,True,True,1.0,not first-line month
210,Targeted,True,True,1.0,EGFR/ALK not eligible
210,Immuno,True,True,1.0,PD-L1 < 1%
210,Chemo,True,False,1.0,ECOG/perf_status > 2
210,Surgery,True,True,1.0,not first-line month
211,Targeted,True,True,1.0,EGFR/ALK not eligible
211,Immuno,True,True,1.0,PD-L1 < 1%
211,Chemo,True,False,1.0,ECOG/perf_status > 2
